date,model,flicker_rate,source_domain,avg_auth,citation_count
,chatgpt,,en.wikipedia.org,98.0,32
,chatgpt,,www.example-BestCRMsoftware2026.com,88.0,4
,chatgpt,,www.example-Bestnoisecancellingheadphones.com,14.0,4
,chatgpt,,www.example-Climatechangeeffects.com,25.0,4
,chatgpt,,www.example-HistoryofRome.com,56.0,4
,chatgpt,,www.example-LatestAIregulations.com,29.0,4
,chatgpt,,www.example-Pythonprogramminglanguage.com,82.0,4
,chatgpt,,www.example-ShopifyvsWooCommerce.com,55.0,4
,chatgpt,,www.example-Whoinventedthetelephone.com,41.0,4
,chatgpt,,www.techcrunch.com,21.0,32
,copilot,,en.wikipedia.org,98.0,32
,copilot,,www.example-BestCRMsoftware2026.com,88.0,4
,copilot,,www.example-Bestnoisecancellingheadphones.com,14.0,4
,copilot,,www.example-Climatechangeeffects.com,25.0,4
,copilot,,www.example-HistoryofRome.com,56.0,4
,copilot,,www.example-LatestAIregulations.com,29.0,4
,copilot,,www.example-Pythonprogramminglanguage.com,82.0,4
,copilot,,www.example-ShopifyvsWooCommerce.com,55.0,4
,copilot,,www.example-Whoinventedthetelephone.com,41.0,4
,copilot,,www.techcrunch.com,21.0,32
,gemini,,en.wikipedia.org,98.0,32
,gemini,,www.example-BestCRMsoftware2026.com,88.0,4
,gemini,,www.example-Bestnoisecancellingheadphones.com,14.0,4
,gemini,,www.example-Climatechangeeffects.com,25.0,4
,gemini,,www.example-HistoryofRome.com,56.0,4
,gemini,,www.example-LatestAIregulations.com,29.0,4
,gemini,,www.example-Pythonprogramminglanguage.com,82.0,4
,gemini,,www.example-ShopifyvsWooCommerce.com,55.0,4
,gemini,,www.example-Whoinventedthetelephone.com,41.0,4
,gemini,,www.techcrunch.com,21.0,32
,perplexity,,en.wikipedia.org,98.0,32
,perplexity,,www.example-BestCRMsoftware2026.com,88.0,4
,perplexity,,www.example-Bestnoisecancellingheadphones.com,14.0,4
,perplexity,,www.example-Climatechangeeffects.com,25.0,4
,perplexity,,www.example-HistoryofRome.com,56.0,4
,perplexity,,www.example-LatestAIregulations.com,29.0,4
,perplexity,,www.example-Pythonprogramminglanguage.com,82.0,4
,perplexity,,www.example-ShopifyvsWooCommerce.com,55.0,4
,perplexity,,www.example-Whoinventedthetelephone.com,41.0,4
,perplexity,,www.techcrunch.com,21.0,32
